baseline a50g0s30: dist=0.09974882257318463
baseline a60g0s30: dist=0.022206313969497238
nopredexitpricing a10g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitpricing a20g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nopredexitpricing a30g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
nopredexitpricing a40g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nopredexitpricing a50g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.6, 0.5, 5.0, 1.0]
nopredexitpricing a60g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.7, 0.6, 5.0, 1.0]
nopredexitpricing a70g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nopredexitpricing a80g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nopredexitpricing a90g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nopredexitpricing a100g0s100: state=[4, 4, 1, 0, 0, 0],  prices=[0.8, 0.6, 5.0, 1.0]
nopredexitbundling a0g0s80: state=[1, 1, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitbundling a10g0s80: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitbundling a0g0s90: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
nopredexitbundling a10g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitbundling a20g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nopredexitbundling a30g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.4, 5.0, 1.0]
nopredexitbundling a40g0s90: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nopredexitbundling a60g0s90: iter=708
nopredexitbundling a70g0s90: iter=467
nopredexitbundling a0g0s100: state=[1, 1, 1, 0, 0, 0],  prices=[0.1, 0.2, 5.0, 1.0]
nopredexitbundling a10g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.2, 0.2, 5.0, 1.0]
nopredexitbundling a20g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.3, 0.3, 5.0, 1.0]
nopredexitbundling a30g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.4, 0.3, 5.0, 1.0]
nopredexitbundling a40g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.5, 0.4, 5.0, 1.0]
nopredexitbundling a50g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.6, 0.5, 5.0, 1.0]
nopredexitbundling a60g0s100: state=[5, 5, 1, 0, 0, 0],  prices=[0.7, 0.6, 5.0, 1.0]
