alpha,beta,c,gamma,p0,sigma,market,margin,bcost,entry,exit,merger,bundling,profits,surplus,welfare,mpoly,mpolyA,mpolyB,profitsLR,surplusLR,welfareLR
0.2,0.95,1.0,0.0,1.0,6.0,300,-3.895,0.635,0.3118,0.8086,0.0,0.0,1.666,0.6006,2.268,0.0,0.8823,0.0,1.782,0.5933,2.375
0.2,0.95,1.0,0.0,1.0,6.0,400,-4.72,0.635,0.002064,0.894,0.0,0.0,0.3086,2.043,2.352,0.0,0.9155,0.0,1.824,0.542,2.365
0.2,0.95,1.0,0.0,1.0,7.0,200,-1.075,0.2502,0.3716,0.007042,0.0,0.0,1.883,0.3376,2.22,0.0,0.992,0.0,1.971,0.3826,2.354
0.2,0.95,1.0,0.0,1.0,7.0,300,-4.473,0.631,0.2776,0.8535,0.0,0.0,1.809,0.454,2.262,0.0,0.968,0.0,1.936,0.4236,2.36
0.2,0.95,1.0,0.0,1.0,7.0,400,-5.51,0.585,0.00267,0.9062,0.0,0.0,0.2703,2.078,2.35,0.0,0.9917,0.0,1.97,0.3838,2.354
0.2,0.95,1.0,0.0,1.0,8.0,200,-1.194,0.2455,0.3467,0.00647,0.0,0.0,1.921,0.3113,2.232,0.0,0.9946,0.0,2.008,0.352,2.36
0.2,0.95,1.0,0.0,1.0,8.0,300,-4.727,0.5107,0.2512,0.874,0.0,0.0,1.865,0.399,2.264,0.0,0.9927,0.0,2.006,0.3552,2.361
0.2,0.95,1.0,0.0,1.0,8.0,400,-5.742,0.5015,0.002316,0.92,0.0,0.0,0.2402,2.111,2.352,0.0,0.9937,0.0,2.006,0.3538,2.36
0.2,0.95,1.0,0.0,1.0,9.0,200,-1.073,0.2438,0.3318,0.011444,0.0,0.0,1.932,0.313,2.244,0.0,0.9565,0.0,1.981,0.3884,2.37
0.2,0.95,1.0,0.0,1.0,9.0,300,-4.6,0.4104,0.2394,0.736,0.0,0.0,1.874,0.4,2.273,0.0,0.956,0.0,1.98,0.3894,2.37
0.2,0.95,1.0,0.0,1.0,9.0,400,-5.562,0.4126,0.012596,0.7114,0.0,0.0,0.2383,2.123,2.361,0.0,0.956,0.0,1.981,0.389,2.37
0.3,0.95,1.0,0.0,1.0,1.0,200,0.584,0.0,1.513,0.0,0.0,0.0,1.903,1.049,2.953,0.0,0.0,0.0,2.17,1.216,3.387
0.3,0.95,1.0,0.0,1.0,1.0,300,0.61,0.0,0.7627,0.0,0.0,0.0,1.991,1.114,3.105,0.0,0.0,0.0,2.17,1.216,3.387
0.3,0.95,1.0,0.0,1.0,1.0,400,0.8384,0.0,0.0,0.0,0.0,0.0,2.086,1.207,3.293,0.0,0.0,0.0,2.17,1.216,3.387
0.3,0.95,1.0,0.0,1.0,10.0,200,-1.474,0.2389,0.3152,0.008026,0.0,0.0,2.113,0.286,2.398,0.0,0.984,0.0,2.195,0.3345,2.53
0.3,0.95,1.0,0.0,1.0,10.0,300,-5.203,0.3943,0.2166,0.8394,0.0,0.0,2.062,0.3596,2.422,0.0,0.9834,0.0,2.195,0.3347,2.53
0.3,0.95,1.0,0.0,1.0,10.0,400,-6.477,0.3953,0.00714,0.8584,0.0,0.0,0.205,2.299,2.504,0.0,0.984,0.0,2.195,0.3345,2.53
0.3,0.95,1.0,0.0,1.0,2.0,200,0.5874,0.0,1.346,0.0,0.0,0.0,1.643,1.143,2.785,0.0,0.0,0.0,1.771,1.401,3.174
0.3,0.95,1.0,0.0,1.0,2.0,300,0.4019,0.0,0.7134,0.0,0.0,0.0,1.682,1.245,2.928,0.0,0.0,0.0,1.771,1.401,3.174
0.3,0.95,1.0,0.0,1.0,2.0,400,0.585,0.0,0.0,0.0,0.0,0.0,1.688,1.395,3.082,0.0,0.0,0.0,1.771,1.401,3.174
