alpha,sigma,market,margin,bcost,entry,exit,merger,profits,surplus,welfare,mpoly
0.5,1.0,30,0.2742,0.3127,0.6733,0.0,0.0,1.658,2.102,3.76,0.0
0.5,1.0,31,-0.352,0.8545,0.553,0.0,1.0,1.485,2.215,3.701,0.0
0.5,1.0,40,0.2742,0.3127,0.0,0.0,0.0,1.707,2.186,3.893,0.0
0.5,1.0,41,-0.267,0.8184,0.0,0.0,1.0,1.512,2.316,3.828,0.0
0.5,1.0,43,0.2527,0.0,0.0,0.0,1.0,1.244,2.71,3.955,0.0
0.5,2.0,20,0.1978,0.4365,1.072,0.0,0.1527,1.225,1.786,3.01,0.0
0.5,2.0,21,0.2102,0.2329,0.799,0.0,1.0,1.18,1.803,2.982,0.0
0.5,2.0,30,-0.225,0.62,0.5464,0.0,0.1171,1.139,2.014,3.152,0.0
0.5,2.0,31,-0.851,1.0,0.3774,0.0,1.0,1.023,2.1,3.121,0.0
0.5,2.0,40,-0.1862,0.585,0.0,0.0,0.0,1.186,2.088,3.273,0.0
0.5,2.0,41,-0.6846,1.0,0.0,0.0,1.0,1.004,2.232,3.236,0.0
0.5,2.0,43,-0.0694,0.549,0.0,0.0,1.0,0.6743,2.676,3.35,0.0
0.5,3.0,20,0.2688,0.3865,0.7373,1.1e-6,0.405,1.147,1.668,2.814,0.0
0.5,3.0,21,0.372,0.11005,0.4465,9.0e-7,1.0,1.237,1.573,2.81,0.0
0.5,3.0,30,-0.5576,0.8633,0.4766,2.53e-5,0.2306,0.8276,2.145,2.973,0.0
0.5,3.0,31,-1.426,1.0,0.2905,0.00011665,1.0,0.7695,2.176,2.945,0.0
0.5,3.0,40,-0.4463,0.8286,0.0,0.0,0.0,0.8633,2.229,3.092,0.0
0.5,3.0,41,-0.985,0.998,0.001159,0.006344,1.0,0.6587,2.383,3.041,0.0
0.5,3.0,43,-1.001,0.875,0.07074,0.3872,1.0,0.2935,2.725,3.02,0.0
0.5,4.0,20,0.4346,0.254,0.3835,0.01384,0.512,1.805,0.8335,2.639,0.7373
0.5,4.0,21,0.6357,0.02568,0.09796,0.01233,1.0,1.934,0.737,2.67,0.738
0.5,4.0,30,-5.633,0.659,0.244,0.8457,0.595,0.578,2.113,2.691,0.703
